CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,ELAProf_Score,ELAProf_Weight,MathProf_Score,MathProf_Weight,Grad4YR_Score,Grad4YR_Weight,Grad5YR_Score,Grad5YR_Weight,ELAGrowth_Score,ELAGrowth_Weight,MathGrowth_Score,MathGrowth_Weight,ELP_Score,ELP_Weight,CA_Score,CA_Weight,SummativeScore,SummativeRating,CompSupport_Bottom5%,CompSupport_Grad67,AccountabilityIndicator,IndicatorScore,IndicatorWeight,Year
01,ATLANTIC,0010,ABSECON CITY,050,EMMA C ATTALES,44.08,17.5%,22.27,17.5%,9999999,9999999,9999999,9999999,55.45,25.0%,38.16,25.0%,9999999,9999999,59.59,15.0%,43.95,38.98,No,No,NA,NA,NA,2017-18
01,ATLANTIC,0010,ABSECON CITY,060,H ASHTON MARSH,32.64,15.0%,63.03,15.0%,9999999,9999999,9999999,9999999,47.75,20.0%,92.58,20.0%,44.26,20.0%,42.21,10.0%,55.49,57.88,No,No,NA,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,010,ATLANTIC CITY HIGH SCHOOL,11.46,15.0%,19.20,15.0%,11.75,20.0%,10.92,20.0%,9999999,9999999,9999999,9999999,11.82,20.0%,8.33,10.0%,12.33,6.30,No,No,NA,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,030,SOVEREIGN AVENUE SCHOOL,25.18,15.0%,26.24,15.0%,9999999,9999999,9999999,9999999,49.35,20.0%,74.01,20.0%,47.23,20.0%,54.80,10.0%,47.31,44.91,No,No,NA,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,050,CHELSEA HEIGHTS SCHOOL,35.90,15.0%,14.45,15.0%,9999999,9999999,9999999,9999999,54.09,20.0%,60.00,20.0%,8.72,20.0%,34.11,10.0%,35.53,26.60,No,No,NA,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,060,TEXAS AVENUE SCHOOL,7.82,15.0%,13.68,15.0%,9999999,9999999,9999999,9999999,44.02,20.0%,57.63,20.0%,12.13,20.0%,58.09,10.0%,31.79,21.15,No,No,NA,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,070,NEW YORK AVENUE SCHOOL,1.72,15.0%,2.73,15.0%,9999999,9999999,9999999,9999999,4.38,20.0%,36.44,20.0%,9.57,20.0%,2.16,10.0%,10.96,2.78,Yes,No,NA,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,080,UPTOWN SCHOOL COMPLEX,1.18,15.0%,1.54,15.0%,9999999,9999999,9999999,9999999,4.62,20.0%,25.40,20.0%,6.38,20.0%,1.32,10.0%,7.82,1.42,Yes,No,NA,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,4.92,15.0%,3.14,15.0%,9999999,9999999,9999999,9999999,8.29,20.0%,1.31,20.0%,32.34,20.0%,5.76,10.0%,10.17,2.43,Yes,No,NA,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,120,RICHMOND AVENUE SCHOOL,50.95,15.0%,56.52,15.0%,9999999,9999999,9999999,9999999,49.47,20.0%,38.64,20.0%,55.32,20.0%,44.96,10.0%,49.30,48.05,No,No,NA,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,140,DR MARTIN LUTHER KING JR SCHOOL COMPLEX,4.56,15.0%,7.76,15.0%,9999999,9999999,9999999,9999999,13.15,20.0%,66.59,20.0%,16.17,20.0%,4.62,10.0%,21.49,9.66,No,No,NA,NA,NA,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,300,BRIGHTON AVENUE SCHOOL,18.78,15.0%,35.66,15.0%,9999999,9999999,9999999,9999999,34.24,20.0%,46.65,20.0%,58.09,20.0%,18.59,10.0%,37.82,30.21,No,No,NA,NA,NA,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,010,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,51.58,17.5%,54.73,17.5%,96.56,25.0%,91.95,25.0%,9999999,9999999,9999999,9999999,9999999,9999999,51.15,15.0%,73.40,79.37,No,No,NA,NA,NA,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,010,BRIGANTINE ELEMENTARY SCHOOL,22.57,17.5%,54.56,17.5%,9999999,9999999,9999999,9999999,39.81,25.0%,2.49,25.0%,9999999,9999999,13.73,15.0%,26.13,13.86,No,No,NA,NA,NA,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,030,BRIGANTINE NORTH MIDDLE SCHOOL,12.74,17.5%,10.01,17.5%,9999999,9999999,9999999,9999999,24.70,25.0%,63.74,25.0%,9999999,9999999,26.20,15.0%,30.02,18.90,No,No,NA,NA,NA,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,025,BUENA REGIONAL HIGH SCHOOL,14.90,17.5%,20.34,17.5%,18.05,25.0%,23.56,25.0%,9999999,9999999,9999999,9999999,9999999,9999999,10.92,15.0%,18.21,12.03,No,No,NA,NA,NA,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,030,BUENA REGIONAL MIDDLE SCHOOL,3.85,17.5%,7.35,17.5%,9999999,9999999,9999999,9999999,4.74,25.0%,75.96,25.0%,9999999,9999999,8.87,15.0%,23.47,11.79,No,No,NA,NA,NA,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,300,DR. J.P. CLEARY ELEMENTARY SCHOOL,7.70,17.5%,13.27,17.5%,9999999,9999999,9999999,9999999,2.73,25.0%,4.93,25.0%,9999999,9999999,22.96,15.0%,9.03,2.13,Yes,No,NA,NA,NA,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,020,CHARLES L. SPRAGG SCHOOL,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,NA,NA,NA,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,030,EGG HARBOR CITY COMMUNITY SCHOOL,0.24,17.5%,1.07,17.5%,9999999,9999999,9999999,9999999,4.44,25.0%,56.74,25.0%,9999999,9999999,14.03,15.0%,17.63,6.52,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,005,EGG HARBOR TOWNSHIP HIGH SCHOOL,50.14,15.0%,59.03,15.0%,46.99,20.0%,35.06,20.0%,9999999,9999999,9999999,9999999,66.36,20.0%,26.44,10.0%,48.70,46.70,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,033,CLAYTON J. DAVENPORT ELEMENTARY SCHOOL,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,NA,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,035,E. H. SLAYBAUGH ELEMENTARY SCHOOL,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,NA,NA,NA,2017-18
