CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,HIBNature,HIBAlleged,HIBConfirmed,TotalHIBInvestigations,Year
01,ATLANTIC,0010,ABSECON CITY,050,EMMA C ATTALES,Ancestry,0,0,0,2017-18
01,ATLANTIC,0010,ABSECON CITY,050,EMMA C ATTALES,Disability,0,0,0,2017-18
01,ATLANTIC,0010,ABSECON CITY,050,EMMA C ATTALES,Gender,0,0,0,2017-18
01,ATLANTIC,0010,ABSECON CITY,050,EMMA C ATTALES,No Identified Nature,3,0,3,2017-18
01,ATLANTIC,0010,ABSECON CITY,050,EMMA C ATTALES,Other,0,1,1,2017-18
01,ATLANTIC,0010,ABSECON CITY,050,EMMA C ATTALES,Race,0,0,0,2017-18
01,ATLANTIC,0010,ABSECON CITY,050,EMMA C ATTALES,Religion,0,0,0,2017-18
01,ATLANTIC,0010,ABSECON CITY,050,EMMA C ATTALES,Sexual Orientation,0,0,0,2017-18
01,ATLANTIC,0010,ABSECON CITY,060,H ASHTON MARSH,Ancestry,0,0,0,2017-18
01,ATLANTIC,0010,ABSECON CITY,060,H ASHTON MARSH,Disability,0,0,0,2017-18
01,ATLANTIC,0010,ABSECON CITY,060,H ASHTON MARSH,Gender,0,0,0,2017-18
01,ATLANTIC,0010,ABSECON CITY,060,H ASHTON MARSH,No Identified Nature,0,0,0,2017-18
01,ATLANTIC,0010,ABSECON CITY,060,H ASHTON MARSH,Other,1,1,2,2017-18
01,ATLANTIC,0010,ABSECON CITY,060,H ASHTON MARSH,Race,0,0,0,2017-18
01,ATLANTIC,0010,ABSECON CITY,060,H ASHTON MARSH,Religion,0,0,0,2017-18
01,ATLANTIC,0010,ABSECON CITY,060,H ASHTON MARSH,Sexual Orientation,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,010,ATLANTIC CITY HIGH SCHOOL,Ancestry,0,1,1,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,010,ATLANTIC CITY HIGH SCHOOL,Disability,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,010,ATLANTIC CITY HIGH SCHOOL,Gender,0,7,7,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,010,ATLANTIC CITY HIGH SCHOOL,No Identified Nature,208,0,208,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,010,ATLANTIC CITY HIGH SCHOOL,Other,0,1,1,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,010,ATLANTIC CITY HIGH SCHOOL,Race,0,1,1,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,010,ATLANTIC CITY HIGH SCHOOL,Religion,0,1,1,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,010,ATLANTIC CITY HIGH SCHOOL,Sexual Orientation,0,1,1,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,030,SOVEREIGN AVENUE SCHOOL,Ancestry,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,030,SOVEREIGN AVENUE SCHOOL,Disability,1,1,2,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,030,SOVEREIGN AVENUE SCHOOL,Gender,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,030,SOVEREIGN AVENUE SCHOOL,No Identified Nature,16,0,16,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,030,SOVEREIGN AVENUE SCHOOL,Other,0,1,1,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,030,SOVEREIGN AVENUE SCHOOL,Race,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,030,SOVEREIGN AVENUE SCHOOL,Religion,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,030,SOVEREIGN AVENUE SCHOOL,Sexual Orientation,0,1,1,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,050,CHELSEA HEIGHTS SCHOOL,Ancestry,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,050,CHELSEA HEIGHTS SCHOOL,Disability,0,0,0,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,050,CHELSEA HEIGHTS SCHOOL,Gender,1,0,1,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,050,CHELSEA HEIGHTS SCHOOL,No Identified Nature,15,0,15,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,050,CHELSEA HEIGHTS SCHOOL,Other,0,0,0,2017-18
