CountyCode,CountyName,DistrictCode,DistrictName,Teachers/Admins,RetentionPct_District,RetentionPct_State,Year
01,ATLANTIC,0010,ABSECON CITY,Administrators,75.0,86.2,2017-18
01,ATLANTIC,0010,ABSECON CITY,Teachers,88.0,90.2,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,Administrators,82.4,86.2,2017-18
01,ATLANTIC,0110,ATLANTIC CITY,Teachers,93.5,90.2,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,Administrators,77.8,86.2,2017-18
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,Teachers,94.2,90.2,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,Administrators,85.7,86.2,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,Teachers,89.5,90.2,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,Administrators,100.0,86.2,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,Teachers,92.9,90.2,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,Administrators,81.8,86.2,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,Teachers,89.8,90.2,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,Administrators,80.0,86.2,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,Teachers,84.3,90.2,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,Administrators,90.2,86.2,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,Teachers,95.8,90.2,2017-18
01,ATLANTIC,1410,ESTELL MANOR CITY,Administrators,66.7,86.2,2017-18
01,ATLANTIC,1410,ESTELL MANOR CITY,Teachers,100.0,90.2,2017-18
01,ATLANTIC,1540,FOLSOM BORO,Administrators,100.0,86.2,2017-18
01,ATLANTIC,1540,FOLSOM BORO,Teachers,90.0,90.2,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,Administrators,83.3,86.2,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,Teachers,91.2,90.2,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,Administrators,90.0,86.2,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,Teachers,86.9,90.2,2017-18
01,ATLANTIC,1940,HAMILTON TWP,Administrators,78.6,86.2,2017-18
01,ATLANTIC,1940,HAMILTON TWP,Teachers,92.4,90.2,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,Administrators,89.5,86.2,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,Teachers,91.4,90.2,2017-18
01,ATLANTIC,2680,LINWOOD CITY,Administrators,100.0,86.2,2017-18
01,ATLANTIC,2680,LINWOOD CITY,Teachers,84.7,90.2,2017-18
01,ATLANTIC,2910,MAINLAND REGIONAL,Administrators,100.0,86.2,2017-18
01,ATLANTIC,2910,MAINLAND REGIONAL,Teachers,95.5,90.2,2017-18
01,ATLANTIC,3020,MARGATE CITY,Administrators,100.0,86.2,2017-18
01,ATLANTIC,3020,MARGATE CITY,Teachers,98.0,90.2,2017-18
01,ATLANTIC,3480,MULLICA TWP,Administrators,83.3,86.2,2017-18
01,ATLANTIC,3480,MULLICA TWP,Teachers,81.3,90.2,2017-18
01,ATLANTIC,3720,NORTHFIELD CITY,Administrators,80.0,86.2,2017-18
01,ATLANTIC,3720,NORTHFIELD CITY,Teachers,95.6,90.2,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,Administrators,82.6,86.2,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,Teachers,91.1,90.2,2017-18
01,ATLANTIC,4240,PORT REPUBLIC CITY,Administrators,50.0,86.2,2017-18
01,ATLANTIC,4240,PORT REPUBLIC CITY,Teachers,78.6,90.2,2017-18
01,ATLANTIC,4800,SOMERS POINT CITY,Administrators,71.4,86.2,2017-18
01,ATLANTIC,4800,SOMERS POINT CITY,Teachers,87.7,90.2,2017-18
01,ATLANTIC,5350,VENTNOR CITY,Administrators,100.0,86.2,2017-18
01,ATLANTIC,5350,VENTNOR CITY,Teachers,94.4,90.2,2017-18
01,ATLANTIC,5760,WEYMOUTH TWP,Administrators,0.0,86.2,2017-18
01,ATLANTIC,5760,WEYMOUTH TWP,Teachers,83.3,90.2,2017-18
03,BERGEN,0040,ALLENDALE BORO,Administrators,100.0,86.2,2017-18
03,BERGEN,0040,ALLENDALE BORO,Teachers,92.1,90.2,2017-18
03,BERGEN,0080,ALPINE BORO,Administrators,50.0,86.2,2017-18
03,BERGEN,0080,ALPINE BORO,Teachers,83.3,90.2,2017-18
03,BERGEN,0285,BERGEN CO SPECIAL SERVICE,Administrators,82.4,86.2,2017-18
03,BERGEN,0285,BERGEN CO SPECIAL SERVICE,Teachers,89.9,90.2,2017-18
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,Administrators,95.2,86.2,2017-18
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,Teachers,92.2,90.2,2017-18
03,BERGEN,0300,BERGENFIELD BORO,Administrators,88.9,86.2,2017-18
03,BERGEN,0300,BERGENFIELD BORO,Teachers,92.1,90.2,2017-18
03,BERGEN,0440,BOGOTA BORO,Administrators,55.6,86.2,2017-18
03,BERGEN,0440,BOGOTA BORO,Teachers,92.2,90.2,2017-18
03,BERGEN,0740,CARLSTADT BORO,Administrators,80.0,86.2,2017-18
03,BERGEN,0740,CARLSTADT BORO,Teachers,84.1,90.2,2017-18
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,Administrators,87.5,86.2,2017-18
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,Teachers,81.4,90.2,2017-18
03,BERGEN,0890,CLIFFSIDE PARK BORO,Administrators,90.9,86.2,2017-18
03,BERGEN,0890,CLIFFSIDE PARK BORO,Teachers,91.2,90.2,2017-18
03,BERGEN,0930,CLOSTER BORO,Administrators,75.0,86.2,2017-18
03,BERGEN,0930,CLOSTER BORO,Teachers,89.1,90.2,2017-18
03,BERGEN,0990,CRESSKILL BORO,Administrators,78.6,86.2,2017-18
03,BERGEN,0990,CRESSKILL BORO,Teachers,95.1,90.2,2017-18
03,BERGEN,1070,DEMAREST BORO,Administrators,100.0,86.2,2017-18
03,BERGEN,1070,DEMAREST BORO,Teachers,82.6,90.2,2017-18
03,BERGEN,1130,DUMONT BORO,Administrators,94.4,86.2,2017-18
03,BERGEN,1130,DUMONT BORO,Teachers,95.4,90.2,2017-18
03,BERGEN,1230,EAST RUTHERFORD BORO,Administrators,66.7,86.2,2017-18
03,BERGEN,1230,EAST RUTHERFORD BORO,Teachers,94.6,90.2,2017-18
03,BERGEN,1270,EDGEWATER BORO,Administrators,100.0,86.2,2017-18
03,BERGEN,1270,EDGEWATER BORO,Teachers,89.6,90.2,2017-18
03,BERGEN,1345,ELMWOOD PARK,Administrators,100.0,86.2,2017-18
03,BERGEN,1345,ELMWOOD PARK,Teachers,85.5,90.2,2017-18
03,BERGEN,1360,EMERSON BORO,Administrators,100.0,86.2,2017-18
03,BERGEN,1360,EMERSON BORO,Teachers,88.0,90.2,2017-18
